,avg,cik,tot,year
472,0.1381299139489459,1071255,23,2006
473,0.15959576157625996,1071255,16,2007
474,0.14126896199686587,1071255,33,2008
475,0.14092110587794054,1071255,18,2009
476,0.1342975923025831,1071255,17,2010
477,0.1604654825353349,1071255,11,2011
478,0.2147397926393234,1071255,11,2012
479,0.20699400375577845,1071255,12,2013
480,0.16709543426938925,1071255,9,2014
481,0.2638895145360381,1071255,8,2015
482,0.1526132440504871,84839,11,2003
483,0.14048024959032476,84839,12,2004
484,0.14798000024849303,84839,15,2005
485,0.1346936799012754,84839,14,2006
486,0.14593976845712694,84839,17,2007
487,0.11467067847928002,84839,25,2008
488,0.13055508903204954,84839,24,2009
489,0.11459383985991943,84839,25,2010
490,0.12756381960442326,84839,25,2011
491,0.10362049009914294,84839,23,2012
492,0.09621734284521413,84839,20,2013
493,0.10163944949026257,84839,24,2014
494,0.12308798066725488,84839,20,2015
495,0.05318106610442265,225211,19,1996
496,0.2508991298187989,225211,34,1997
497,0.1966283725580409,225211,36,1998
498,0.19393202254905292,225211,17,1999
499,0.22930915240656646,225211,32,2000
500,0.2498513773199324,225211,36,2001
501,0.23744546777189168,225211,16,2002
502,0.14522291334193535,225211,3,2004
503,0.218313669971816,225211,4,2005
504,0.12754865079641875,225211,4,2006
505,0.1943106607043024,225211,3,2008
506,0.17729647456589648,225211,4,2010
507,0.18698945915856538,225211,6,2011
508,0.145700031278317,225211,2,2012
509,0.21016802234698095,225211,3,2013
510,0.4844656494983591,225211,7,2014
511,0.2021465454700091,225211,22,2015
512,0.17338966574799963,320174,2,1998
513,0.3137847670046174,320174,15,2004
514,0.24288498952777812,320174,33,2005
515,0.29672706013383493,320174,38,2006
516,0.268776245531362,320174,45,2007
517,0.2578098411637652,320174,53,2008
518,0.28415725907006656,320174,16,2009
519,0.16278971806635187,320174,8,2010
520,0.1797173468483658,320174,6,2011
521,0.12927347815414283,320174,6,2012
522,0.17496161221525314,320174,5,2013
523,0.16353278831022355,320174,10,2014
524,0.2558319387570592,320174,10,2015
525,0.2506968137963527,880643,11,1997
526,0.2007281194116529,880643,9,1998
527,0.20250186317798022,880643,10,1999
528,0.12281871693062774,880643,2,2002
529,0.28828590457748077,880643,3,2003
530,0.216778925333639,880643,15,2004
531,0.23074825961038065,880643,17,2005
532,0.16053011869851827,880643,36,2006
533,0.15903298154933515,880643,36,2007
534,0.16733131118660413,880643,25,2008
535,0.36984758814103813,880643,24,2009
536,0.3223090824308785,880643,22,2010
537,0.24982778901094171,880643,19,2011
538,0.32372741025257895,880643,11,2012
539,0.18892410830975803,1179060,4,2003
540,0.1654642504221681,1179060,11,2004
541,0.17216064622405394,1179060,18,2005
542,0.1564137350150728,1179060,18,2006
543,0.1115827128271285,1179060,14,2007
544,0.13434289022850568,1179060,16,2008
545,0.17386850322156774,1179060,11,2009
546,0.14651116197534747,1179060,15,2010
547,0.15022572495377146,1179060,17,2011
548,0.15438897250935718,1179060,22,2012
549,0.1532619837512243,1179060,29,2013
550,0.1708260155422995,1179060,35,2014
551,0.21671808667563092,1179060,29,2015
552,0.11837516645743762,920424,3,2002
553,0.09746931278321974,920424,11,2003
554,0.14723164697149313,920424,23,2004
555,0.12285462666959567,920424,20,2005
556,0.0889121866378595,920424,18,2006
557,0.08548193451107342,920424,18,2007
558,0.06579126623630172,920424,17,2008
559,0.11431721667048232,920424,19,2009
560,0.12786108580528086,920424,20,2010
561,0.13983049902767983,920424,20,2011
562,0.10975338445313972,920424,17,2012
563,0.11534452817516691,920424,16,2013
564,0.0748419809715538,920424,17,2014
565,0.09770228691411331,920424,18,2015
566,0.2978689985657968,357301,6,1995
567,0.19081675309954169,357301,10,1996
568,0.16346698514503677,357301,8,1997
569,0.1869438479796068,357301,8,1998
570,0.2932454944430807,357301,9,1999
571,0.2075358998250477,357301,13,2000
572,0.1477167937992204,357301,10,2001
573,0.1850469482963835,357301,13,2002
574,0.16530842411331095,357301,10,2003
575,0.11257069014926173,357301,13,2004
576,0.1619156967480858,357301,14,2005
577,0.1417633746202962,357301,10,2006
578,0.14577680370154064,357301,11,2007
579,0.12723482217691634,357301,9,2008
580,0.11390822424018068,357301,16,2009
581,0.11109915354361767,357301,10,2010
582,0.12054627156340054,357301,13,2011
583,0.10828942816773217,357301,13,2012
584,0.10437693679176138,357301,13,2013
585,0.10557613497761047,357301,13,2014
586,0.10073323440660097,357301,13,2015
587,0.22172609911015106,107263,2,1995
588,0.26877188448663475,107263,3,1997
589,0.30744006811714514,107263,3,1998
590,0.3076813725616365,107263,4,1999
591,0.32006949264783763,107263,5,2000
592,0.2849344216553321,107263,14,2001
593,0.2526404545784405,107263,48,2002
594,0.21488726438255631,107263,39,2003
595,0.2410401796188656,107263,30,2004
596,0.2650386734433765,107263,10,2005
597,0.3328175017525912,107263,9,2006
